	pmid	keywords	pub_types
44	32425007	['Adult', 'Betacoronavirus', '*Breast Feeding', 'China', 'Coronavirus Infections/*diagnosis', 'Female', 'Humans', 'Infant, Newborn', 'Infectious Disease Transmission, Vertical', 'Milk, Human/*virology', 'Pandemics', 'Pneumonia, Viral/*diagnosis', 'Pregnancy', 'Pregnancy Complications, Infectious/*virology', 'RNA, Viral/isolation & purification'], ['SARS-CoV-2; Breastfeeding; Pregnant woman; Pathogenesis; Maternal-fetal', 'transmission']	['Case Reports', 'Journal Article']
45	32425006	['Adult', 'Anxiety/*therapy', 'Betacoronavirus', 'Cell Phone', 'China', 'Coronavirus Infections/*psychology', 'Depression/*therapy', 'Female', 'Humans', '*Internet', 'Male', 'Middle Aged', 'Mindfulness', 'Pandemics', 'Pneumonia, Viral/*psychology', 'Prospective Studies', 'Psychological Distress', 'Relaxation Therapy', 'Self Care/*methods'], ['Coronavirus disease 2019 (COVID-19); Internet-based integrated intervention;', 'Depression; Anxiety']	['Journal Article', 'Randomized Controlled Trial']
46	32425005	['Adult', 'Anxiety/therapy', 'Betacoronavirus', 'China', 'Coronavirus Infections/*psychology/*therapy', 'Depression/therapy', '*Dialectical Behavior Therapy', 'Female', 'Humans', 'Pandemics', 'Pneumonia, Viral/*psychology/*therapy', 'Postpartum Period', 'Pregnancy', 'Pregnant Women/psychology'], ['Coronavirus disease 2019 (COVID-19); Pregnancy; Postpartum; Psychological', 'intervention; Dialectical behavior therapy']	['Case Reports', 'Journal Article']
47	32425004	['Adult', 'Betacoronavirus', 'China/epidemiology', 'Coronavirus Infections/*diagnosis', '*Emergency Service, Hospital', 'Female', 'Humans', 'Lung/diagnostic imaging', 'Male', 'Middle Aged', 'Pandemics', 'Patient Isolation', 'Pneumonia, Viral/*diagnosis', 'Tomography, X-Ray Computed'], ['Coronavirus disease 2019 (COVID-19); SARS-CoV-2; Emergency department']	['Case Reports', 'Journal Article']
48	32425003	['Acute Kidney Injury/virology', 'Aged', 'Aged, 80 and over', 'Betacoronavirus', 'Blood Urea Nitrogen', 'China', 'Coronavirus Infections/*complications/*therapy', 'Extracorporeal Membrane Oxygenation', 'Female', 'Fibrin Fibrinogen Degradation Products/analysis', 'Heart Diseases/virology', 'Hemoglobins/analysis', 'Hospitalization', 'Humans', 'Intensive Care Units', 'Interleukin-6/blood', 'L-Lactate Dehydrogenase/blood', 'Lymphopenia/virology', 'Male', 'Middle Aged', '*Noninvasive Ventilation', 'Pandemics', 'Pneumonia, Viral/*complications/*therapy', '*Positive-Pressure Respiration', 'Prothrombin Time', 'Retrospective Studies'], ['Coronavirus disease 2019 (COVID-19); Clinical characteristics; Intensive care', 'unit (ICU); Mechanical ventilation']	['Comparative Study', 'Journal Article']
49	32425002	['Adolescent', 'Adult', 'Aged', 'Aspartate Aminotransferases/blood', 'Betacoronavirus', 'Case-Control Studies', 'Child', 'Child, Preschool', 'China/epidemiology', 'Coronavirus Infections/*epidemiology/physiopathology/therapy', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'L-Lactate Dehydrogenase/blood', 'Male', 'Middle Aged', 'Pandemics', 'Pneumonia, Viral/*epidemiology/physiopathology/therapy', 'Retrospective Studies', 'Young Adult'], ['Coronavirus disease 2019 (COVID-19); Severe acute respiratory syndrome', 'coronavirus 2 (SARS-CoV-2); Zhejiang Province; Wuhan']	['Journal Article']
50	32425001	['*Aerosols', 'Betacoronavirus', 'Coronavirus Infections/prevention & control/*transmission', 'Cross Infection/*prevention & control', '*Dentistry', 'Hand Hygiene', 'Humans', 'Infection Control/*methods', 'Pandemics/prevention & control', 'Personal Protective Equipment', 'Pneumonia, Viral/prevention & control/*transmission'], ['Corona virus disease 2019 (COVID-19); Aerosol; Infection control']	['Journal Article', 'Review']
51	32425000	['Amino Acid Motifs', 'Animals', 'Antiviral Agents', 'Betacoronavirus/*genetics', 'China/epidemiology', 'Communicable Disease Control/methods', 'Coronavirus Infections/diagnosis/*epidemiology/physiopathology/prevention & control/therapy', 'Humans', 'Immunization, Passive', 'Medicine, Chinese Traditional', 'Pandemics', 'Pneumonia, Viral/diagnosis/*epidemiology/physiopathology/therapy', 'Protein Domains', 'Spike Glycoprotein, Coronavirus/chemistry', 'Viral Vaccines'], ['Coronavirus disease 2019 (COVID-19); Severe acute respiratory syndrome', 'coronavirus 2 (SARS-CoV-2); Pathogenesis; Epidemiology; Prevention and management']	['Journal Article', 'Review']
52	32424016	['Coronavirus Infections/*epidemiology/*prevention & control', 'Humans', '*International Health Regulations', 'Pandemics/*prevention & control', 'Pneumonia, Viral/*epidemiology/*prevention & control', 'Travel/*legislation & jurisprudence'], ['*control strategies', '*health policy', '*public health']	['Journal Article']
53	32423988	['*Advance Care Planning', 'Coronavirus Infections/*epidemiology/therapy', 'Humans', 'Pandemics', 'Pneumonia, Viral/*epidemiology/therapy', 'United Kingdom/epidemiology'],  	['Editorial']
54	32423975	['Coronavirus Infections/*epidemiology', 'Decontamination/*methods', 'Humans', 'Pandemics', 'Personal Protective Equipment', 'Pneumonia, Viral/*epidemiology', 'Ventilators, Mechanical/*virology'],  	['Letter']
55	32423911	['Adult', 'Chest Tubes', 'Coronavirus Infections/*complications/diagnosis', 'Humans', 'Male', 'Pandemics', 'Pneumonia, Viral/*complications/diagnosis', 'Pneumothorax/etiology/*therapy', 'Thoracostomy'], ['emergency medicine', 'infectious diseases', 'intensive care', 'respiratory medicine']	['Case Reports', 'Journal Article']
56	32423899	['Betacoronavirus', 'Coronavirus Infections/*epidemiology', 'Health Resources/supply & distribution', 'Humans', 'Medical Oncology/*organization & administration', 'Pancreatic Neoplasms/*diagnosis/*therapy', 'Pandemics', 'Pneumonia, Viral/*epidemiology', 'Societies, Medical', 'Telemedicine'], ['*COVID-19 pandemic']	['Journal Article', 'Review']
57	32423554	['*Betacoronavirus', '*Cardiovascular Diseases/complications/mortality/therapy', 'Cardiovascular System/*physiopathology/*virology', 'Coronavirus Infections/*complications/drug therapy/mortality/*physiopathology/therapy', 'Disease Progression', 'Humans', 'Pandemics', 'Peptidyl-Dipeptidase A', 'Pneumonia, Viral/*complications/mortality/*physiopathology/therapy'], ['*COVID-19', '*Cardiovascular system', '*Coronavirus', '*Hope brings light into dark places!']	['Editorial']
58	32423470	"['Air Microbiology', 'Coronavirus Infections/*epidemiology/*prevention & control', 'Cross Infection/*prevention & control/transmission', 'Disease Outbreaks/*prevention & control', 'Humans', 'Infection Control/*methods', '*Intensive Care Units', 'Pandemics/*prevention & control', 'Patient Isolation', ""Patients' Rooms"", 'Pneumonia, Viral/*epidemiology/*prevention & control', 'Republic of Korea/epidemiology'],  "	['Letter']
59	32423461	['Betacoronavirus', 'Coronavirus Infections', 'Echocardiography', 'Humans', 'Pandemics', 'Phenotype', 'Pneumonia, Viral', 'Respiration, Artificial', '*Respiratory Distress Syndrome, Adult', '*Shock, Septic'], ['*Acute respiratory distress syndrome', '*COVID-19', '*Doppler', '*Echocardiography', '*Human', '*Influenza']	['Letter', 'Comment']
60	32423452	['Coronavirus Infections/*epidemiology/*therapy', 'Humans', 'Intensive Care Units/*organization & administration', 'Organization and Administration', 'Pandemics', 'Pneumonia, Viral/*epidemiology/*therapy'],  	['Letter']
61	32423431	['Coronavirus Infections/*epidemiology/*therapy', 'Humans', 'Intensive Care Units', 'Pandemics', 'Pneumonia, Viral/*epidemiology/*therapy', 'Respiration, Artificial/*methods', 'Ventilators, Mechanical/supply & distribution'],  	['Editorial']
62	32423342	['Antiviral Agents/therapeutic use', 'Betacoronavirus', 'Clinical Trials as Topic', 'Coronavirus Infections/*drug therapy/prevention & control', 'Drug Repositioning', 'Drugs, Investigational', 'Humans', 'Pandemics', 'Pneumonia, Viral/*drug therapy', 'Viral Vaccines'],  	['Editorial']
63	32423094	['Betacoronavirus/physiology', 'Chromosomes, Human, X', 'Coronavirus Infections/*epidemiology/*genetics/immunology', 'Female', '*Genetic Predisposition to Disease', 'Humans', 'Male', 'Pandemics', 'Peptidyl-Dipeptidase A/genetics', 'Pneumonia, Viral/*epidemiology/*genetics/immunology', 'Serine Endopeptidases/genetics', 'Sex Factors'], ['ACE1', 'ACE2', 'COVID-19', 'RAS-pathway', 'SARS-CoV-2', 'TMPRSS2', 'inflammation', 'lung shut-down', 'prognostic molecular/genetic markers', 'sex/gender-gap', 'thrombosis']	['Journal Article']
64	32421950	['Betacoronavirus', '*Clinical Trials Data Monitoring Committees', '*Clinical Trials as Topic/ethics/statistics & numerical data', '*Computer Security', '*Coronavirus Infections/epidemiology', 'Humans', 'Informed Consent', '*Pandemics', '*Pneumonia, Viral/epidemiology', '*Research Subjects'],  	['Journal Article']
65	32421703	['Adolescent', 'Adult', 'Aged', 'Betacoronavirus', 'China', 'Coronavirus Infections/*diagnosis', 'Female', 'Humans', 'Logistic Models', 'Male', 'Middle Aged', '*Nomograms', 'Pandemics', 'Pneumonia, Viral/*diagnosis', 'Retrospective Studies', 'Risk Factors', '*Severity of Illness Index', 'Young Adult'],  	"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't"", 'Validation Study']"
66	32421546	['Aged', 'Betacoronavirus/isolation & purification', 'C-Reactive Protein/metabolism', 'Clinical Laboratory Techniques', 'Collagen Type XII/blood', 'Coronavirus Infections/blood/*diagnosis/epidemiology/*pathology', 'Female', 'Humans', 'Hyaluronic Acid/blood', 'Lung Diseases, Interstitial/blood/diagnosis/pathology/virology', 'Male', 'Middle Aged', 'Pandemics', 'Pneumonia, Viral/blood/*diagnosis/epidemiology/*pathology/virology', 'Prognosis', 'Pulmonary Fibrosis/blood/diagnosis/pathology/virology', 'Retrospective Studies'],  	"['Journal Article', ""Research Support, Non-U.S. Gov't""]"
67	32421541	['Administration, Inhalation', 'Aerosols/administration & dosage', 'Betacoronavirus/isolation & purification', 'Coronavirus Infections/*drug therapy/epidemiology', 'Drug Delivery Systems/*methods/standards', 'Humans', 'Infection Control/methods', 'Nebulizers and Vaporizers', 'Pandemics', 'Pneumonia, Viral/*drug therapy/epidemiology'], ['*Aerosols', '*COVID-19', '*Coronavirus', '*Inhalers and Drugs', '*Nebulizers']	['Journal Article', 'Review']
68	32421539	['Adult', 'Betacoronavirus/isolation & purification', 'Clinical Laboratory Techniques', 'Coronavirus Infections/diagnosis/*diagnostic imaging/epidemiology/physiopathology/virology', 'Dyspnea/*diagnostic imaging/*virology', 'Female', 'Humans', 'Pandemics', 'Pneumonia, Viral/*diagnostic imaging/epidemiology/physiopathology/virology', 'Radiography, Thoracic/methods', 'Tomography, X-Ray Computed/methods'], ['*COVID-19', '*Chest CT', '*Chest tightness', '*Corticosteroid use', '*Dyspnea']	['Case Reports', 'Letter']
69	32421537	['Betacoronavirus/isolation & purification', 'Coronavirus Infections/*epidemiology/physiopathology', 'Humans', 'Odds Ratio', 'Pandemics', 'Pneumonia, Viral/*epidemiology/physiopathology', 'Pulmonary Disease, Chronic Obstructive/*epidemiology/virology'], ['*COPD', '*COVID-19', '*Chronic obstructive pulmonary disease', '*Coronavirus']	['Letter', 'Meta-Analysis']
70	32421479	['Coronavirus Infections/etiology/*prevention & control/transmission', 'Disease Transmission, Infectious/prevention & control', 'Equipment and Supplies/*adverse effects', 'Facial Injuries/etiology/prevention & control', 'Humans', 'Infection Control/methods/*standards', 'Masks/*adverse effects', 'Pandemics/*prevention & control', 'Personal Protective Equipment/*adverse effects', 'Pneumonia, Viral/etiology/*prevention & control/transmission', 'Pressure Ulcer/etiology/*prevention & control', 'Skin/injuries', 'Skin Diseases/etiology/prevention & control'], ['COVID-19', 'acute respiratory distress syndrome', 'device-related pressure ulcer', 'face masks', 'personal protective equipment', 'skin damage']	['Journal Article']
71	32420961	['Adult', '*Betacoronavirus', 'Clinical Laboratory Techniques', '*Coronavirus Infections/complications/diagnosis', 'Female', 'Humans', 'Infant, Newborn', 'Infectious Disease Transmission, Vertical', 'Mothers', '*Pandemics', '*Pneumonia, Viral/complications/diagnosis', 'Pregnancy', '*Pregnancy Complications, Infectious/virology', 'Tomography, X-Ray Computed'],  	['Journal Article']
72	32420960	['*Betacoronavirus', 'Coronavirus Infections/*epidemiology', 'History, 20th Century', 'Humans', '*Influenza Pandemic, 1918-1919', 'Italy/epidemiology', 'Pandemics', 'Pneumonia, Viral/*epidemiology'],  	['Historical Article', 'Journal Article']
73	32420959	['*Betacoronavirus', 'Coronavirus Infections/*transmission', 'Europe', 'Humans', 'Pandemics', 'Pneumonia, Viral/*transmission', '*Sports'],  	['Letter']
74	32420958	['Antiviral Agents/*therapeutic use', 'Betacoronavirus/*drug effects', 'Coronavirus Infections/*drug therapy', 'Humans', 'Pandemics', 'Pneumonia, Viral/*drug therapy', 'Sofosbuvir/*therapeutic use'],  	['Letter']
