Property,sameAs,Description,cardinality,marginality,domainIncludes,expected type,allowed values
name,schema:name,"name of the associated dataset, software, protocols, etc used by the work described in this publication",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
type,schema:additionalType,"type of the associated resource (dataset, protocols, analysis, etc.) used by the work described in this publication",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,"Protocols/guidelines, publications, analysis, dataset, etc"
identifier,schema:identifier,"Identifier of the associated datasets, software, protocols, etc.",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
versionDate,schema:releaseDate,"date of the version of the resource from which this publication was derived. Note this is NOT the same as dateModified, as the protocol may be based on an earlier 'dateModified' than is what is available from the resource",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Date,
relatedTo,schema:relatedTo,"Related articles or resources such as pre-prints, comments, editorial summaries of the article, etc. Helpful for de-duplication between pre-print and peer-reviewed version",many,optional,outbreak:Publication,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",
name,schema:name,name of related resource,one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
type,schema:additionalType,type of related resource,one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,"publications, analysis, datasets, clinicaltrials, etc."
identifier,schema:identifier,"Identifier of related articles or resources such as pre-prints, comments, editorial summaries",one per resource,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
keywords,schema:keywords,,many,recommended,outbreak:Publication,schema:Text,
topicCategory,schema:about,Applicable outbreak.info category,many,recommended,outbreak:Publication,schema:Text,categories probably derived Covid-19 primer
curatedBy,schema:citation,The source from which this Analysis was identified for inclusion into Outbreak.info. Provides provenance for a resource which was curated by another,one,recommended,outbreak:Publication,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",
name,schema:name,name of the source from which this Analysis was identified for inclusion,one per citation,recommended,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
url,schema:url,The corresponding url for the item in the source from which this Analysis was identified (if available),one per citation,recommended,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
versionDate,schema:releaseDate,The last date when items were pulled from the source,one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Date,
