Property,sameAs,Description,cardinality,marginality,domainIncludes,expected type,allowed values
type,schema:additionalType,"type (publication, protocol, dataset, code, etc.) of the isBasedOn resource",one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,"[""ClinicalStudy"",""Analysis"",""Publication"",""Dataset"",""Protocol"",""SoftwareApplication"",""Other""]"
identifier,schema:identifier,"identifier (pmid, WHO protocol id, etc.) of the isBasedOn resource",one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
versionDate,schema:releaseDate,"date of the version of the resource from which this analysis was derived. Note this is NOT the same as dateModified, as the protocol may be based on an earlier 'dateModified' than is what is available from the resource",one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Date,
relatedTo,schema:relatedTo,"Other resources related to, but not a derivative of nor derived from this analysis",many,optional,outbreak:Analysis,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",
name,schema:name,name of related resource,one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
type,schema:additionalType,type of related resource,one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,"[""ClinicalStudy"",""Analysis"",""Publication"",""Dataset"",""Protocol"",""SoftwareApplication"",""Other""]"
identifier,schema:identifier,identifier (if available) of related resource,one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
contributor,schema:contributor,A secondary contributor to the CreativeWork or Event.,many,optional,outbreak:Analysis,"[outbreak:Person,outbreak:Organization]",
maintainer,schema:maintainer,"A maintainer of a Dataset, software package (SoftwareApplication), or other Project.",many,optional,outbreak:Analysis,"[outbreak:Person,outbreak:Organization]",
keywords,schema:keywords,keywords,many,recommended,outbreak:Analysis,schema:Text,
topicCategory,schema:about,Applicable outbreak.info category,many,recommended,outbreak:Analysis,schema:Text,"[Clinical,Diagnosis,Forecasting,Mechanism,Prevention,Transmission,Treatment,Epidemiology]"
curatedBy,schema:citation,The source from which this Analysis was identified for inclusion into Outbreak.info. Provides provenance for a resource which was curated by another,one,recommended,outbreak:Analysis,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",
name,schema:name,name of the source from which this Analysis was identified for inclusion,one per citation,recommended,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
url,schema:url,The corresponding url for the item in the source from which this Analysis was identified (if available),one per citation,recommended,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Text,
versionDate,schema:releaseDate,The last date when items were pulled from the source,one per citation,optional,"[outbreak:ClinicalTrial, outbreak:Analysis, outbreak:Publication, outbreak:Dataset, outbreak:Protocol, schema:SoftwareApplication, schema:Thing]",schema:Date,
